Gender,Age,Branch,Administration Level,Entry Time,Years of Service,Highest Education Level,Status,Rank,Salary Rank,Description,Attrition
Male,29,BRC Culture & Tourism,Operator,11/30/16,0,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.0,Commercial Operation-Customer Service,Yes
Male,40,BRC Culture & Tourism,Assistant General Manager,11/7/16,2,"Community College, Two-Year Program, or Equivalent ",Full-time,4,P 4.1,Commercial Operation-Commercial Management,No
Male,36,BRC Culture & Tourism,Staff,11/4/16,0,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.3,Project Management,Yes
Female,29,BRC Culture & Tourism,Staff,8/16/16,1,Bachelor,Full-time,1,P 1.2,Commercial Operation-Investment,Yes
Male,38,BRC Culture & Tourism,Staff,9/18/16,0,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.3,Commercial Operation-Customer Service,Yes
Male,41,BRC Culture & Tourism,Assistant General Manager,9/26/16,0,Bachelor,Full-time,4,P 4.2,Commercial Operation-Operation Management,Yes
Female,51,BRC Culture & Tourism,Operator,7/21/16,1,Under High School,Full-time,1,P 1.0,Property Management,Yes
Female,26,BRC Culture & Tourism,Staff,9/21/16,0,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.2,Commercial Operation-Customer Service,Yes
Male,23,BRC Culture & Tourism,Staff,7/15/16,1,Bachelor,Intern,1,P 1.1,Finance-Accounting,Yes
Male,32,BRC Culture & Tourism,Manager,7/1/16,1,"Community College, Two-Year Program, or Equivalent ",Full-time,3,P 3.1,Commercial Operation-Commercial Management,Yes
Female,23,BRC Culture & Tourism,Operator,6/28/16,0,Bachelor,Intern,1,P 1.0,Commercial Operation-Customer Service,Yes
Female,23,BRC Culture & Tourism,Operator,6/28/16,0,"Community College, Two-Year Program, or Equivalent ",Intern,1,P 1.0,Commercial Operation-Customer Service,Yes
Female,22,BRC Culture & Tourism,Operator,6/28/16,0,"Community College, Two-Year Program, or Equivalent ",Intern,1,P 1.0,Commercial Operation-Customer Service,Yes
Male,32,BRC Culture & Tourism,Staff,7/15/16,1,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.3,Marketing & CRM-Design,Yes
Female,53,BRC Culture & Tourism,Operator,7/21/16,1,Under High School,Full-time,1,P 1.0,Property Management,Yes
Male,27,BRC Culture & Tourism,Operator,7/31/16,0,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.0,Commercial Operation-Customer Service,Yes
Female,21,BRC Culture & Tourism,Operator,6/8/16,0,"Community College, Two-Year Program, or Equivalent ",Intern,1,P 1.0,Commercial Operation-Customer Service,Yes
Male,22,BRC Culture & Tourism,Operator,6/16/16,0,"Community College, Two-Year Program, or Equivalent ",Intern,1,P 1.0,Commercial Operation-Customer Service,Yes
Female,21,BRC Culture & Tourism,Operator,6/22/16,0,"Community College, Two-Year Program, or Equivalent ",Intern,1,P 1.0,Commercial Operation-Customer Service,Yes
Female,25,BRC Culture & Tourism,Operator,7/7/16,0,"Community College, Two-Year Program, or Equivalent ",Intern,1,P 1.0,Commercial Operation-Customer Service,Yes
Female,30,BRC Culture & Tourism,Operator,7/5/16,1,High School,Full-time,1,P 1.0,Commercial Operation-Customer Service,Yes
Female,32,BRC Culture & Tourism,Deputy Manager,9/26/16,0,"Community College, Two-Year Program, or Equivalent ",Full-time,2,P 2.1,Commercial Operation-Planning,Yes
Female,20,BRC Culture & Tourism,Operator,6/23/16,0,"Community College, Two-Year Program, or Equivalent ",Intern,1,P 1.0,Commercial Operation-Customer Service,Yes
Female,23,BRC Culture & Tourism,Staff,7/1/17,0,Bachelor,Full-time,1,P 1.1,Finance-Accounting,Yes
Male,36,BRC Culture & Tourism,Manager,8/9/16,1,Graduate Level (Master & Ph.d.),Full-time,3,P 3.1,Commercial Operation-Planning,Yes
Male,47,BRC Culture & Tourism,Manager,9/28/16,1,"Community College, Two-Year Program, or Equivalent ",Full-time,3,P 3.1,Commercial Operation-Operation Management,Yes
Female,23,BRC Culture & Tourism,Operator,6/28/16,0,Bachelor,Intern,1,P 1.0,Commercial Operation-Customer Service,Yes
Female,20,BRC Culture & Tourism,Operator,6/22/16,0,"Community College, Two-Year Program, or Equivalent ",Intern,1,P 1.0,Commercial Operation-Customer Service,Yes
Female,23,BRC Culture & Tourism,Operator,6/28/16,0,"Community College, Two-Year Program, or Equivalent ",Intern,1,P 1.0,Commercial Operation-Customer Service,Yes
Female,23,BRC Culture & Tourism,Operator,6/28/16,0,"Community College, Two-Year Program, or Equivalent ",Intern,1,P 1.0,Commercial Operation-Customer Service,Yes
Male,31,BRC Culture & Tourism,Staff,8/30/16,2,High School,Full-time,1,P 1.2,Commercial Operation-Common,Yes
Female,21,BRC Culture & Tourism,Operator,10/11/16,0,"Community College, Two-Year Program, or Equivalent ",Intern,1,P 1.0,Commercial Operation-Customer Service,Yes
Male,36,BRC Culture & Tourism,Staff,9/26/16,0,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.3,Marketing & CRM-Design,Yes
Female,20,BRC Culture & Tourism,Operator,10/11/16,0,"Community College, Two-Year Program, or Equivalent ",Intern,1,P 1.0,Commercial Operation-Customer Service,Yes
Female,27,BRC Culture & Tourism,Staff,10/10/16,1,Bachelor,Full-time,1,P 1.1,Commercial Operation-Investment,Yes
Female,20,BRC Culture & Tourism,Operator,7/14/16,0,High School,Intern,1,P 1.0,Commercial Operation-Customer Service,Yes
Female,23,BRC Culture & Tourism,Operator,7/15/16,1,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.0,Commercial Operation-Common,Yes
Female,30,BRC Culture & Tourism,Staff,9/6/16,0,Bachelor,Full-time,1,P 1.1,Marketing & CRM-Online Marketing,Yes
Female,20,BRC Culture & Tourism,Operator,6/22/16,1,"Community College, Two-Year Program, or Equivalent ",Intern,1,P 1.0,Commercial Operation-Customer Service,Yes
Female,21,BRC Culture & Tourism,Operator,6/22/16,0,"Community College, Two-Year Program, or Equivalent ",Intern,1,P 1.0,Commercial Operation-Customer Service,Yes
Female,20,BRC Culture & Tourism,Operator,6/8/16,0,"Community College, Two-Year Program, or Equivalent ",Intern,1,P 1.0,Commercial Operation-Customer Service,Yes
Female,29,BRC Culture & Tourism,Staff,8/15/16,2,Bachelor,Full-time,1,P 1.1,Internal Business,No
Female,32,BRC Culture & Tourism,Staff,9/26/16,0,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.3,Human Resources,Yes
Female,21,BRC Culture & Tourism,Operator,6/8/16,0,"Community College, Two-Year Program, or Equivalent ",Intern,1,P 1.0,Commercial Operation-Customer Service,Yes
Male,34,BRC Culture & Tourism,Manager,9/22/16,1,"Community College, Two-Year Program, or Equivalent ",Full-time,3,P 3.1,Marketing & CRM-Marketing,Yes
Female,20,BRC Culture & Tourism,Operator,6/22/16,0,"Community College, Two-Year Program, or Equivalent ",Intern,1,P 1.0,Commercial Operation-Customer Service,Yes
Female,22,BRC Culture & Tourism,Operator,6/28/16,0,"Community College, Two-Year Program, or Equivalent ",Intern,1,P 1.0,Commercial Operation-Customer Service,Yes
Female,20,BRC Culture & Tourism,Operator,7/16/16,0,"Community College, Two-Year Program, or Equivalent ",Intern,1,P 1.0,Commercial Operation-Customer Service,Yes
Male,36,BRC Culture & Tourism,Staff,10/10/16,0,Bachelor,Full-time,1,P 1.1,Marketing & CRM-Marketing,Yes
Male,42,BRC Culture & Tourism,Manager,7/1/16,1,"Community College, Two-Year Program, or Equivalent ",Full-time,3,P 3.1,Finance-Accounting,Yes
Male,36,BRC Culture & Tourism,Assistant General Manager,9/27/16,0,"Community College, Two-Year Program, or Equivalent ",Full-time,4,P 4.2,Commercial Operation-Commercial Management,Yes
Male,29,BRC Culture & Tourism,Staff,8/15/16,1,Bachelor,Full-time,1,P 1.1,Marketing & CRM-Marketing,Yes
Female,20,BRC Culture & Tourism,Operator,7/2/16,0,Bachelor,Intern,1,P 1.0,Commercial Operation-Customer Service,Yes
Female,20,BRC Culture & Tourism,Operator,7/2/16,0,"Community College, Two-Year Program, or Equivalent ",Intern,1,P 1.0,Commercial Operation-Customer Service,Yes
Female,21,BRC Culture & Tourism,Operator,6/23/16,0,"Community College, Two-Year Program, or Equivalent ",Intern,1,P 1.0,Commercial Operation-Customer Service,Yes
Male,24,BRC Culture & Tourism,Operator,7/2/16,0,Bachelor,Intern,1,P 1.0,Commercial Operation-Customer Service,Yes
Female,19,BRC Culture & Tourism,Operator,7/2/16,0,High School,Intern,1,P 1.0,Commercial Operation-Customer Service,Yes
Male,62,BRC Culture & Tourism,Operator,10/11/16,0,Under High School,Full-time,1,P 1.0,Commercial Operation-Customer Service,Yes
Female,48,BRC Culture & Tourism,Operator,10/11/16,0,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.0,Commercial Operation-Operation Management,Yes
Female,41,BRC Culture & Tourism,Operator,7/5/16,0,High School,Full-time,1,P 1.0,Commercial Operation-Customer Service,Yes
Female,28,BRC Culture & Tourism,Staff,8/23/16,1,Bachelor,Full-time,1,P 1.3,Finance-Budget,Yes
Male,35,BRC Culture & Tourism,Manager,10/31/16,0,Bachelor,Full-time,3,P 3.1,Marketing & CRM-Marketing,Yes
Female,33,BRC Culture & Tourism,Staff,8/19/16,0,Bachelor,Full-time,1,P 1.1,Internal Business,Yes
Female,28,BRC Culture & Tourism,Staff,10/19/16,0,Bachelor,Full-time,1,P 1.1,Management-Brand Management,Yes
Male,43,BRC Culture & Tourism,Operator,7/21/18,0,High School,Full-time,1,P 1.0,Project Management,Yes
Male,23,BRC Culture & Tourism,Operator,7/22/18,0,High School,Full-time,1,P 1.0,Project Management,Yes
Male,27,BRC Culture & Tourism,Staff,7/23/18,0,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.1,Marketing & CRM-Design,No
Male,29,BRC Culture & Tourism,Manager,7/25/18,0,Bachelor,Full-time,3,P 3.1,Planning-Comprehensive,Yes
Female,25,BRC Culture & Tourism,Staff,7/24/18,0,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.1,Commercial Operation-Common,Yes
Male,31,BRC Culture & Tourism,Manager,8/1/18,0,Bachelor,Full-time,3,P 3.1,Marketing & CRM-Marketing,Yes
Male,27,BRC Culture & Tourism,Manager,7/20/18,0,Bachelor,Full-time,3,P 3.1,Marketing & CRM-Planning,Yes
Male,25,BRC Culture & Tourism,Staff,7/23/18,0,Bachelor,Full-time,1,P 1.3,Commercial Operation-Operation Management,Yes
Female,24,BRC Culture & Tourism,Operator,7/14/18,0,High School,Full-time,1,P 1.0,Commercial Operation-Common,Yes
Female,34,BRC Culture & Tourism,Staff,7/16/18,0,Bachelor,Full-time,1,P 1.1,Commercial Operation-Common,No
Male,24,BRC Culture & Tourism,Staff,7/16/18,0,Graduate Level (Master & Ph.d.),Intern,1,P 1.1,Project Management,Yes
Male,26,BRC Culture & Tourism,Assistant General Manager,7/30/18,0,Bachelor,Full-time,4,P 4.1,Bidding,No
Male,30,BRC Culture & Tourism,Operator,7/17/18,0,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.0,Internal Business,Yes
Male,23,BRC Culture & Tourism,Operator,7/23/18,0,Bachelor,Full-time,1,P 1.0,Commercial Operation-Operation Management,Yes
Female,21,BRC Culture & Tourism,Operator,8/1/18,0,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.0,Commercial Operation-Operation Management,Yes
Female,23,BRC Culture & Tourism,Operator,8/1/18,0,Bachelor,Full-time,1,P 1.0,Commercial Operation-Operation Management,Yes
Male,23,BRC Culture & Tourism,Operator,8/1/18,0,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.0,Commercial Operation-Operation Management,Yes
Female,24,BRC Culture & Tourism,Operator,8/1/18,0,Bachelor,Full-time,1,P 1.0,Commercial Operation-Operation Management,Yes
Male,23,BRC Culture & Tourism,Operator,7/12/18,0,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.0,Commercial Operation-Operation Management,Yes
Male,21,BRC Culture & Tourism,Staff,7/9/18,0,Bachelor,Intern,1,P 1.1,Planning-Comprehensive,Yes
Female,27,BRC Culture & Tourism,Staff,7/23/18,0,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.1,Marketing & CRM-Planning,Yes
Male,24,BRC Culture & Tourism,Operator,8/1/18,0,Under High School,Full-time,1,P 1.0,Commercial Operation-Common,Yes
Male,21,BRC Culture & Tourism,Operator,7/23/18,0,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.0,Commercial Operation-Operation Management,Yes
Male,27,BRC Culture & Tourism,Staff,8/2/18,0,Bachelor,Full-time,1,P 1.3,Commercial Operation-Operation Management,Yes
Female,20,BRC Culture & Tourism,Operator,6/22/16,0,"Community College, Two-Year Program, or Equivalent ",Intern,1,P 1.0,Commercial Operation-Customer Service,Yes
Female,21,BRC Culture & Tourism,Operator,7/2/16,0,Bachelor,Intern,1,P 1.0,Commercial Operation-Customer Service,Yes
Female,20,BRC Culture & Tourism,Operator,6/22/16,1,"Community College, Two-Year Program, or Equivalent ",Intern,1,P 1.0,Commercial Operation-Customer Service,Yes
Male,36,BRC Culture & Tourism,Manager,8/15/16,1,Bachelor,Full-time,3,P 3.2,Planning-Design,Yes
Female,21,BRC Culture & Tourism,Operator,6/23/16,1,"Community College, Two-Year Program, or Equivalent ",Intern,1,P 1.0,Commercial Operation-Customer Service,Yes
Female,35,BRC Culture & Tourism,Operator,7/5/16,0,High School,Full-time,1,P 1.0,Commercial Operation-Customer Service,Yes
Male,28,BRC Culture & Tourism,Operator,7/5/16,1,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.0,Commercial Operation-Customer Service,Yes
Male,26,BRC Culture & Tourism,Operator,7/5/16,1,Under High School,Full-time,1,P 1.0,Commercial Operation-Operation Management,Yes
Male,23,BRC Culture & Tourism,Operator,7/2/16,0,Bachelor,Intern,1,P 1.0,Commercial Operation-Customer Service,Yes
Female,22,BRC Culture & Tourism,Operator,6/12/16,1,"Community College, Two-Year Program, or Equivalent ",Intern,1,P 1.0,Commercial Operation-Customer Service,Yes
Female,24,BRC Culture & Tourism,Staff,8/24/16,1,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.1,Commercial Operation-Customer Service,Yes
Male,29,BRC Culture & Tourism,Operator,8/24/16,0,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.0,Commercial Operation-Customer Service,Yes
Female,20,BRC Culture & Tourism,Operator,7/22/16,0,"Community College, Two-Year Program, or Equivalent ",Intern,1,P 1.0,Commercial Operation-Customer Service,Yes
Female,28,BRC Culture & Tourism,Operator,10/11/16,0,High School,Full-time,1,P 1.0,Commercial Operation-Customer Service,Yes
Female,28,BRC Culture & Tourism,Staff,10/17/16,0,Bachelor,Full-time,1,P 1.1,Commercial Operation-Planning,Yes
Male,27,BRC Culture & Tourism,Operator,10/25/16,2,Bachelor,Full-time,1,P 1.0,Commercial Operation-Customer Service,No
Male,22,BRC Culture & Tourism,Operator,7/2/16,0,"Community College, Two-Year Program, or Equivalent ",Intern,1,P 1.0,Commercial Operation-Customer Service,Yes
Female,21,BRC Culture & Tourism,Operator,7/2/16,0,"Community College, Two-Year Program, or Equivalent ",Intern,1,P 1.0,Commercial Operation-Customer Service,Yes
Male,23,BRC Culture & Tourism,Operator,6/8/16,0,"Community College, Two-Year Program, or Equivalent ",Intern,1,P 1.0,Commercial Operation-Customer Service,Yes
Male,35,BRC Culture & Tourism,Staff,10/20/16,2,Bachelor,Full-time,1,P 1.3,Project Management,No
Male,37,BRC Culture & Tourism,Assistant General Manager,10/8/16,0,Bachelor,Full-time,4,P 4.1,Commercial Operation-Operation Management,Yes
Female,23,BRC Culture & Tourism,Operator,7/13/16,0,"Community College, Two-Year Program, or Equivalent ",Intern,1,P 1.0,Commercial Operation-Customer Service,Yes
Male,31,BRC Culture & Tourism,Manager,8/1/17,0,Bachelor,Full-time,3,P 3.1,Commercial Operation-Investment,Yes
Male,25,BRC Culture & Tourism,Operator,8/3/17,0,Bachelor,Full-time,1,P 1.0,Commercial Operation-Common,Yes
Male,33,BRC Culture & Tourism,Assistant General Manager,9/20/17,1,"Community College, Two-Year Program, or Equivalent ",Full-time,4,P 4.2,Property Management,Yes
Female,22,BRC Culture & Tourism,Operator,7/10/18,0,High School,Full-time,1,P 1.0,Commercial Operation-Common,Yes
Male,37,BRC Culture & Tourism,Assistant General Manager,7/12/18,0,Bachelor,Full-time,4,P 4.1,Planning-Design,Yes
Female,20,BRC Culture & Tourism,Operator,7/3/18,0,High School,Full-time,1,P 1.0,Commercial Operation-Common,Yes
Male,28,BRC Culture & Tourism,Operator,7/9/18,0,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.0,Commercial Operation-Common,Yes
Female,24,BRC Culture & Tourism,Operator,7/3/18,0,Bachelor,Full-time,1,P 1.0,Commercial Operation-Operation Management,Yes
Male,22,BRC Culture & Tourism,Operator,7/9/18,0,Bachelor,Full-time,1,P 1.0,Commercial Operation-Customer Service,Yes
Male,41,BRC Culture & Tourism,Operator,7/3/18,0,Under High School,Full-time,1,P 1.0,Commercial Operation-Operation Management,Yes
Male,31,BRC Culture & Tourism,Manager,7/30/18,0,Bachelor,Full-time,3,P 3.1,Project Management,Yes
Male,29,BRC Culture & Tourism,Manager,7/9/18,0,"Community College, Two-Year Program, or Equivalent ",Full-time,3,P 3.1,Commercial Operation-Common,Yes
Female,33,BRC Culture & Tourism,Staff,7/13/18,0,Bachelor,Full-time,1,P 1.3,Marketing & CRM-Channel,No
Female,29,BRC Culture & Tourism,Staff,7/23/18,0,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.3,Commercial Operation-Operation Management,Yes
Male,26,BRC Culture & Tourism,Operator,7/4/18,0,Bachelor,Full-time,1,P 1.0,Internal Business,Yes
Female,24,BRC Culture & Tourism,Staff,7/6/18,0,Bachelor,Full-time,1,P 1.1,Administration,Yes
Female,40,BRC Culture & Tourism,Assistant General Manager,7/16/18,0,Graduate Level (Master & Ph.d.),Full-time,4,P 4.1,Planning-Comprehensive,Yes
Female,24,BRC Culture & Tourism,Staff,7/1/17,0,Bachelor,Full-time,1,P 1.1,Commercial Operation-Operation Management,Yes
Female,21,BRC Culture & Tourism,Operator,6/2/16,0,High School,Intern,1,P 1.0,Commercial Operation-Customer Service,Yes
Female,20,BRC Culture & Tourism,Operator,6/8/16,0,"Community College, Two-Year Program, or Equivalent ",Intern,1,P 1.0,Commercial Operation-Customer Service,Yes
Female,20,BRC Culture & Tourism,Operator,6/8/16,0,"Community College, Two-Year Program, or Equivalent ",Intern,1,P 1.0,Commercial Operation-Customer Service,Yes
Male,32,BRC Culture & Tourism,Manager,5/16/16,1,Bachelor,Full-time,3,P 3.1,Commercial Operation-Investment,Yes
Female,47,BRC Culture & Tourism,Operator,5/8/16,0,Under High School,Full-time,1,P 1.0,Commercial Operation-Customer Service,Yes
Female,26,BRC Culture & Tourism,Staff,5/18/16,0,Bachelor,Full-time,1,P 1.1,Marketing & CRM-Planning,Yes
Female,26,BRC Culture & Tourism,Staff,5/23/16,0,Bachelor,Full-time,1,P 1.1,Property Management,Yes
Female,21,BRC Culture & Tourism,Operator,6/2/16,1,"Community College, Two-Year Program, or Equivalent ",Intern,1,P 1.0,Commercial Operation-Customer Service,Yes
Female,22,BRC Culture & Tourism,Operator,5/4/16,0,"Community College, Two-Year Program, or Equivalent ",Intern,1,P 1.0,Commercial Operation-Customer Service,Yes
Female,23,BRC Culture & Tourism,Staff,7/1/17,0,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.1,Marketing & CRM-Marketing,Yes
Female,21,BRC Culture & Tourism,Operator,6/8/16,0,"Community College, Two-Year Program, or Equivalent ",Intern,1,P 1.0,Commercial Operation-Customer Service,Yes
Female,22,BRC Culture & Tourism,Operator,5/4/16,0,"Community College, Two-Year Program, or Equivalent ",Intern,1,P 1.0,Commercial Operation-Customer Service,Yes
Male,38,BRC Culture & Tourism,Operator,4/30/16,0,Under High School,Full-time,1,P 1.0,Commercial Operation-Customer Service,Yes
Female,22,BRC Culture & Tourism,Operator,6/5/16,2,High School,Intern,1,P 1.0,Commercial Operation-Customer Service,No
Male,31,BRC Culture & Tourism,Assistant General Manager,5/20/16,2,Graduate Level (Master & Ph.d.),Full-time,4,P 4.1,Human Resources,Yes
Male,23,BRC Culture & Tourism,Operator,6/28/16,0,"Community College, Two-Year Program, or Equivalent ",Intern,1,P 1.0,Commercial Operation-Customer Service,Yes
Male,23,BRC Culture & Tourism,Operator,6/2/16,0,High School,Intern,1,P 1.0,Commercial Operation-Customer Service,Yes
Male,34,BRC Culture & Tourism,Deputy Manager,6/6/16,1,Bachelor,Full-time,2,P 2.1,Property Management,Yes
Female,22,BRC Culture & Tourism,Operator,6/2/16,0,High School,Intern,1,P 1.0,Commercial Operation-Customer Service,Yes
Male,28,BRC Culture & Tourism,Operator,5/19/16,1,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.0,Commercial Operation-Operation Management,Yes
Female,23,BRC Culture & Tourism,Operator,5/4/16,0,"Community College, Two-Year Program, or Equivalent ",Intern,1,P 1.0,Commercial Operation-Customer Service,Yes
Male,28,BRC Culture & Tourism,Staff,7/28/17,0,Bachelor,Full-time,1,P 1.3,Management-Brand Management,Yes
Male,34,BRC Culture & Tourism,Manager,8/14/17,1,"Community College, Two-Year Program, or Equivalent ",Full-time,3,P 3.1,Marketing & CRM-Channel,Yes
Female,25,BRC Culture & Tourism,Staff,9/11/17,0,Graduate Level (Master & Ph.d.),Intern,1,P 1.1,Property Management,Yes
Male,24,BRC Culture & Tourism,Operator,8/1/17,0,Bachelor,Full-time,1,P 1.0,Commercial Operation-Operation Management,Yes
Female,41,BRC Culture & Tourism,Manager,8/25/17,0,Bachelor,Full-time,3,P 3.1,Management-Brand Management,Yes
Male,27,BRC Culture & Tourism,Staff,8/15/17,0,Bachelor,Full-time,1,P 1.1,Commercial Operation-Operation Management,Yes
Male,37,BRC Culture & Tourism,Assistant General Manager,9/1/17,0,Bachelor,Full-time,4,P 4.1,Marketing & CRM-Marketing & CRM Management,Yes
Female,27,BRC Culture & Tourism,Staff,8/8/17,0,Bachelor,Full-time,1,P 1.1,Commercial Operation-Planning,Yes
Female,33,BRC Culture & Tourism,Staff,5/21/18,0,Bachelor,Full-time,1,P 1.3,Auditing-Cost Management,Yes
Female,24,BRC Culture & Tourism,Operator,5/10/18,0,Under High School,Full-time,1,P 1.0,Commercial Operation-Customer Service,Yes
Male,35,BRC Culture & Tourism,Manager,5/23/18,0,Graduate Level (Master & Ph.d.),Full-time,3,P 3.1,Auditing,Yes
Male,25,BRC Culture & Tourism,Staff,5/22/18,0,Graduate Level (Master & Ph.d.),Intern,1,P 1.1,Auditing,Yes
Male,29,BRC Culture & Tourism,Operator,5/28/18,0,Bachelor,Full-time,1,P 1.0,Commercial Operation-Operation Management,Yes
Male,35,BRC Culture & Tourism,Manager,6/18/18,0,Bachelor,Full-time,3,P 3.1,Auditing,No
Male,32,BRC Culture & Tourism,Staff,5/22/18,0,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.3,Commercial Operation-Operation Management,No
Male,25,BRC Culture & Tourism,Staff,5/21/18,0,Bachelor,Full-time,1,P 1.1,Commercial Operation-Planning,Yes
Male,30,BRC Culture & Tourism,Operator,6/1/18,0,High School,Full-time,1,P 1.0,Commercial Operation-Common,Yes
Male,49,BRC Culture & Tourism,Operator,6/4/18,0,High School,Full-time,1,P 1.0,Commercial Operation-Common,Yes
Male,29,BRC Culture & Tourism,Assistant General Manager,5/24/18,0,"Community College, Two-Year Program, or Equivalent ",Full-time,4,P 4.1,Marketing & CRM-Marketing,Yes
Male,43,BRC Culture & Tourism,General Manager,6/11/18,0,Bachelor,Full-time,6,M 6.1,Finance-Investment,Yes
Male,30,BRC Culture & Tourism,Deputy Manager,6/4/18,0,Bachelor,Full-time,2,P 2.1,Commercial Operation-Planning,Yes
Male,23,BRC Culture & Tourism,Operator,5/16/18,0,High School,Full-time,1,P 1.0,Commercial Operation-Common,Yes
Female,21,BRC Culture & Tourism,Operator,5/14/18,0,High School,Full-time,1,P 1.0,Finance-Seller,Yes
Male,39,BRC Culture & Tourism,Operator,8/24/18,0,High School,Full-time,1,P 1.0,Commercial Operation-Common,Yes
Male,30,BRC Culture & Tourism,Manager,9/18/18,0,Bachelor,Full-time,2,P 2.1,Human Resources,Yes
Female,33,BRC Culture & Tourism,Manager,9/12/18,0,Bachelor,Full-time,3,P 3.1,Marketing & CRM-Planning,Yes
Female,36,BRC Culture & Tourism,Deputy General Manager,9/5/18,0,Graduate Level (Master & Ph.d.),Full-time,4,P 4.1,Human Resources,Yes
Female,29,BRC Culture & Tourism,Deputy Manager,9/18/18,0,Bachelor,Full-time,2,P 2.1,Bidding,Yes
Male,25,BRC Culture & Tourism,Staff,9/3/18,0,Graduate Level (Master & Ph.d.),Intern,1,P 1.1,Marketing & CRM-Marketing,Yes
Female,32,BRC Culture & Tourism,Assistant General Manager,9/28/18,0,Graduate Level (Master & Ph.d.),Full-time,4,P 4.1,Planning-Comprehensive,Yes
Male,29,BRC Culture & Tourism,Manager,9/10/18,0,Bachelor,Full-time,3,P 3.1,Planning-Comprehensive,No
Male,40,BRC Culture & Tourism,Assistant General Manager,10/15/18,0,"Community College, Two-Year Program, or Equivalent ",Full-time,4,P 4.2,Commercial Operation-Operation Management,Yes
Female,22,BRC Culture & Tourism,Staff,9/3/18,0,Bachelor,Intern,1,P 1.1,Human Resources,No
Male,25,BRC Culture & Tourism,Staff,9/3/18,0,Bachelor,Intern,1,P 1.1,Project Management,Yes
Female,24,BRC Culture & Tourism,Staff,7/9/18,0,Bachelor,Full-time,1,P 1.1,Management,Yes
Male,35,BRC Culture & Tourism,Staff,5/8/18,0,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.3,Information & Technology,Yes
Female,46,BRC Culture & Tourism,Operator,6/25/18,0,High School,Full-time,1,P 1.0,Commercial Operation-Common,Yes
Female,29,BRC Culture & Tourism,Staff,6/25/18,0,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.1,Administration,Yes
Male,20,BRC Culture & Tourism,Operator,6/13/18,0,High School,Full-time,1,P 1.0,Commercial Operation-Common,Yes
Male,32,BRC Culture & Tourism,Operator,7/3/18,0,High School,Full-time,1,P 1.0,Commercial Operation-Common,Yes
Male,21,BRC Culture & Tourism,Operator,6/20/18,0,High School,Full-time,1,P 1.0,Commercial Operation-Common,Yes
Female,26,BRC Culture & Tourism,Staff,7/2/18,0,Graduate Level (Master & Ph.d.),Intern,1,P 1.1,Auditing-Cost Management,Yes
Female,37,BRC Culture & Tourism,Manager,6/19/18,0,Graduate Level (Master & Ph.d.),Full-time,3,P 3.1,Planning-Comprehensive,Yes
Male,46,BRC Culture & Tourism,Operator,6/11/18,0,High School,Full-time,1,P 1.0,Project Management,Yes
Male,21,BRC Culture & Tourism,Operator,5/15/18,0,Under High School,Full-time,1,P 1.0,Commercial Operation-Customer Service,Yes
Male,30,BRC Culture & Tourism,Operator,5/21/18,0,High School,Full-time,1,P 1.0,Commercial Operation-Common,Yes
Male,32,BRC Culture & Tourism,Manager,7/2/18,0,Bachelor,Full-time,3,P 3.1,Marketing & CRM-Channel,No
Male,36,BRC Culture & Tourism,Operator,5/9/18,0,High School,Full-time,1,P 1.0,Commercial Operation-Operation Management,Yes
Female,25,BRC Culture & Tourism,Operator,5/23/18,0,Bachelor,Full-time,1,P 1.0,Internal Business,Yes
Female,24,BRC Culture & Tourism,Staff,9/3/18,0,Graduate Level (Master & Ph.d.),Intern,1,P 1.1,Marketing & CRM-Marketing,No
